,area_id,hhid,persid,Gender,Age,Tripsnumberofchildren,Numberofadults,Numberofchildren,HHincome,Houseownership,Numberofcars,Surveyday,PTUSE,Destination,Parentscarlicence,Motherseducation,Fatherseducation,MothersJob,FathersJob,SI,HOME_asgs_name,MothersTripmode,trips_mode_1.2,trips_mode_1.3,trips_mode_1.4,TotalTravelTime,Totalwaittime,TotalDistance,HOME_sa4_name
94,20703116715,Y23H5290220,Y23H5290220P04,Male,10,4,2,3,3850,Being Rented,1,Weekend,No,Education,2,No Study,.,Retired,.,1272.26590831802,Greater Melbourne, ,Vehicle Driver,Vehicle Driver,Vehicle Driver,70.0,0.0,27.27529,Melbourne - Inner East
95,20703116709,Y23H5290231,Y23H5290231P02,Male,16,6,1,1,3500,Being Rented,1,Weekday,Yes,Education,2,No Study,.,Full-time Work,.,2707.33115874708,Greater Melbourne,Vehicle Driver,Vehicle Driver,Walking,Walking,82.0,37.0,10.86587,Melbourne - Inner East
96,20703116709,Y23H5290233,Y23H5290233P05,Male,16,1,2,3,7225,Fully Owned,1,Weekday,No,At Home,2,No Study,No Study,Retired,Full-time Work,2707.33115874708,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,147.0,0.0,170.26719,Melbourne - Inner East
97,21305159035,Y23H5290518,Y23H5290518P03,Female,13,2,2,2,2500,Being Purchased,1,Weekday,No,Education,2,No Study,No Study,Full-time Work,Unemployed,1250.20855053417,Greater Melbourne, , ,School Bus,School Bus,60.0,0.0,5.83714,Melbourne - West
98,20701114602,Y23H5300301,Y23H5300301P03,Male,9,2,2,2,4400,Being Purchased,0,Weekday,No,Recreational,2,No Study,No Study,Full-time Work,Part-time Work,3468.81123584207,Greater Melbourne,Other,Other,Other,Vehicle Driver,66.0,0.0,48.26674,Melbourne - Inner East
99,20804119523,Y23H5300327,Y23H5300327P04,Female,12,1,2,3,6724,Being Purchased,1,Weekend,No,At Home,2,No Study,No Study,Full-time Work,Full-time Work,1953.30729991955,Greater Melbourne,Vehicle Driver,Vehicle Passenger,Vehicle Passenger,Vehicle Passenger,390.0,0.0,-1.0,Melbourne - Inner South
100,20804119523,Y23H5300327,Y23H5300327P03,Male,15,1,2,3,6724,Being Purchased,1,Weekend,No,At Home,2,No Study,No Study,Full-time Work,Full-time Work,1953.30729991955,Greater Melbourne,Vehicle Driver,Vehicle Passenger,Vehicle Passenger,Vehicle Passenger,390.0,0.0,-1.0,Melbourne - Inner South
101,21302134503,Y23H5300516,Y23H5300516P03,Male,9,2,2,3,3225,Being Purchased,1,Weekday,No,Education,2,No Study,No Study,Part-time Work,Full-time Work,1042.39988024424,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,6.0,0.0,1.72308,Melbourne - West
102,21302134503,Y23H5300518,Y23H5300518P03,Female,13,2,2,2,4125,Fully Owned,0,Weekday,No,At Home,2,No Study,No Study,Full-time Work,Full-time Work,1042.39988024424,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,80.0,0.0,88.27986,Melbourne - West
103,21305158709,Y23H5300524,Y23H5300524P03,Male,12,3,2,2,2500,Being Purchased,2,Weekday,No,Accompany Someone,2,No Study,No Study,Full-time Work,Keeping House,350.296163103363,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,72.0,0.0,67.60594,Melbourne - West
104,21305158709,Y23H5300528,Y23H5300528P05,Male,15,0,2,4,6799,Being Rented,0,Weekend,No, ,2,No Study,No Study,Full-time Work,Full-time Work,350.296163103363,Greater Melbourne, , , , ,,,,Melbourne - West
105,21305158709,Y23H5300528,Y23H5300528P04,Female,16,0,2,4,6799,Being Rented,0,Weekend,No, ,2,No Study,No Study,Full-time Work,Full-time Work,350.296163103363,Greater Melbourne, , , , ,,,,Melbourne - West
106,20801117310,Y23H5310301,Y23H5310301P03,Another term,13,4,2,1,3725,Fully Owned,1,Weekday,No,Pick-up or Drop-off Someone,2,No Study,No Study,Part-time Work,Full-time Work,1760.77322913744,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,26.0,0.0,7.10473,Melbourne - Inner South
107,20801117310,Y23H5310303,Y23H5310303P03,Male,9,4,2,2,7000,Fully Owned,0,Weekday,No,Pick-up or Drop-off Someone,2,No Study,No Study,Part-time Work,Full-time Work,1760.77322913744,Greater Melbourne,Vehicle Passenger,Walking,Vehicle Driver,Vehicle Driver,25.0,0.0,15.0307,Melbourne - Inner South
108,20801117310,Y23H5310311,Y23H5310311P03,Male,11,2,2,2,4375,Being Rented,0,Weekday,No,Recreational,2,No Study,No Study,Full-time Work,Full-time Work,1760.77322913744,Greater Melbourne,Vehicle Driver,Vehicle Driver,Walking,Other,50.0,0.0,3.9632,Melbourne - Inner South
109,20801117310,Y23H5310321,Y23H5310321P02,Male,12,0,1,1,350,Being Rented,1,Weekend,No, ,1,No Study,.,Unemployed,.,1760.77322913744,Greater Melbourne, , , , ,,,,Melbourne - Inner South
110,20803119123,Y23H5310327,Y23H5310327P04,Male,17,0,2,2,350,Being Rented,1,Weekend,No, ,2,No Study,No Study,Unemployed,Unemployed,853.885419599751,Greater Melbourne, ,Vehicle Driver,Vehicle Driver,Vehicle Driver,,,,Melbourne - Inner South
111,20603150132,Y23H5310402,Y23H5310402P03,Male,9,2,2,1,6000,Being Purchased,1,Weekday,No,Education,2,No Study,No Study,Part-time Work,Full-time Work,5626.27029207453,Greater Melbourne,Vehicle Driver,Vehicle Driver,Vehicle Driver,Vehicle Driver,22.0,0.0,4.85462,Melbourne - Inner
